##samplename	xsec	sig(xsec)	eos/n	UID	location
vH_ttH		(1380+869.6+508.5)*0.0632	0	1	93	/store/group/upgrade/delphes/vh_tth_pythia_14tev/Phase2/files/
VBFHToTauTau	4223*0.0632	0	1	94	/store/group/upgrade/delphes/VBFHToTauTau_TuneZ2_14TeV-powheg-pythia6/Phase2PU140/
ggFHToTauTau	49470*0.0632	0	1	95	/store/group/upgrade/delphes/ggFHToTauTau_TuneZ2_14TeV-powheg-pythia6/Phase2/files/
gFHHTobbtautaulam0	2.92*2.134	0	1	96	/store/group/upgrade/delphes/dihiggs_signal_bbtt/gFHHTobbtautau_TuneZ2_8TeV-lamx0_madgraph/files/
gFHHTobbtautaulam1m	2.92*3.869	0	1	97	/store/group/upgrade/delphes/dihiggs_signal_bbtt/gFHHTobbtautau_TuneZ2_8TeV-lamx1m_madgraph/files/
gFHHTobbtautaulam5p	2.92*2.471	0	1	98	/store/group/upgrade/delphes/dihiggs_signal_bbtt/gFHHTobbtautau_TuneZ2_8TeV-lamx5p_madgraph/files/
gFHHTobbtautaulam5m	2.92*16.82	0	1	99	/store/group/upgrade/delphes/dihiggs_signal_bbtt/gFHHTobbtautau_TuneZ2_8TeV-lamx5m_madgraph/files/
HHToTTBB_14TeV	2.92	0	1	100	/store/group/upgrade/delphes/dihiggs_signal_bbtt/gFHHTobbtautau_TuneZ2_8TeV-madgraph/files-v2/
B-4p-0-1-v1510_14TEV	200944681.29	25155.87	1	101	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/B-4p-0-1-v1510_14TEV/
BB-4p-0-300-v1510_14TEV	249977.10	59.19	1	102	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BB-4p-0-300-v1510_14TEV/
BB-4p-300-700-v1510_14TEV	35230.62	11.32	1	103	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BB-4p-300-700-v1510_14TEV/
BB-4p-700-1300-v1510_14TEV	4137.43	1.50	1	104	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BB-4p-700-1300-v1510_14TEV/
BB-4p-1300-2100-v1510_14TEV	417.02	0.19	1	105	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BB-4p-1300-2100-v1510_14TEV/
BB-4p-2100-100000-v1510_14TEV	47.70	0.05	1	106	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BB-4p-2100-100000-v1510_14TEV/
BBB-4p-0-600-v1510_14TEV	2573.04	0.71	1	107	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BBB-4p-0-600-v1510_14TEV/
BBB-4p-600-1300-v1510_14TEV	149.35	0.05	1	108	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BBB-4p-600-1300-v1510_14TEV/
BBB-4p-1300-100000-v1510_14TEV	12.74	0.01	1	109	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/BBB-4p-1300-100000-v1510_14TEV/
Bj-4p-0-300-v1510_14TEV	34409923.39	10657.00	1	110	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-0-300-v1510_14TEV/
Bj-4p-300-600-v1510_14TEV	2642853.09	1134.82	1	111	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-300-600-v1510_14TEV/
Bj-4p-600-1100-v1510_14TEV	294123.11	136.49	1	112	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-600-1100-v1510_14TEV/
Bj-4p-1100-1800-v1510_14TEV	25950.00	13.44	1	113	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-1100-1800-v1510_14TEV/
Bj-4p-1800-2700-v1510_14TEV	2421.11	1.29	1	114	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-1800-2700-v1510_14TEV/
Bj-4p-2700-3700-v1510_14TEV	226.90	0.16	1	115	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-2700-3700-v1510_14TEV/
Bj-4p-3700-100000-v1510_14TEV	27.67	0.01	1	116	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bj-4p-3700-100000-v1510_14TEV/
Bjj-vbf-4p-0-700-v1510_14TEV	86456.04	23.82	1	117	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bjj-vbf-4p-0-700-v1510_14TEV/
Bjj-vbf-4p-700-1400-v1510_14TEV	4348.69	1.66	1	118	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bjj-vbf-4p-700-1400-v1510_14TEV/
Bjj-vbf-4p-1400-2300-v1510_14TEV	324.65	0.15	1	119	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bjj-vbf-4p-1400-2300-v1510_14TEV/
Bjj-vbf-4p-2300-3400-v1510_14TEV	30.32	0.04	1	120	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bjj-vbf-4p-2300-3400-v1510_14TEV/
##Bjj-vbf-4p-3400-100000-v1510_14TEV	3.13	0.01	1	121	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/Bjj-vbf-4p-3400-100000-v1510_14TEV/
H-4p-0-300-v1510_14TEV	21559.90	6.96	1	122	/store/group/upgrade/delphes/PhaseII_140PU_ProdJul28/H-4p-0-300-v1510_14TEV/
