 ROOT Version: 5.32/00.
 CMSSW environment is set up.
31167 pts/144  00:00:00 root.exe
 MIT root style REMIX($Author: KSUNG $$,$Modified by ksung $$).

 Use: MakeCanvas(name,title)
      InitSubPad(pad,nPad)
      InitHist(hist,xTitle,yTitle,color)

(class CPlot)198632896

Processing newBoxCuts.C+("new.conf",1)...
Selected ditau decay: dijet
sample		 presel	 tau/b	 bb	 hh	 final
HH	466.738	96.7762	51.9827	35.9455	32.8118
HH	9.27558	4.22366	3.09552	2.57411	2.45934
tt	0	0	0	0	0
tt	0	0	0	0	0
ZH	0	0	0	0	0
ZH	0	0	0	0	0
WH	0	0	0	0	0
WH	0	0	0	0	0
WW	0	0	0	0	0
WW	0	0	0	0	0
ZZ	0	0	0	0	0
ZZ	0	0	0	0	0
ZW	0	0	0	0	0
ZW	0	0	0	0	0
ETC	0	0	0	0	0
ETC	0	0	0	0	0
S/sqrt(B): inf	inf	inf	inf	inf
