 ROOT Version: 5.32/00.
 CMSSW environment is set up.
31306 pts/144  00:00:00 root.exe
 MIT root style REMIX($Author: KSUNG $$,$Modified by ksung $$).

 Use: MakeCanvas(name,title)
      InitSubPad(pad,nPad)
      InitHist(hist,xTitle,yTitle,color)

(class CPlot)251336128

Processing newBoxCuts.C+("new.conf",3)...
Selected ditau decay: jet-ele
sample		 presel	 tau/b	 bb	 hh	 final
HH	340.468	71.7066	34.6551	20.8299	19.5396
HH	7.92215	3.63567	2.52748	1.95952	1.89785
tt	0	0	0	0	0
tt	0	0	0	0	0
ZH	0	0	0	0	0
ZH	0	0	0	0	0
WH	0	0	0	0	0
WH	0	0	0	0	0
WW	0	0	0	0	0
WW	0	0	0	0	0
ZZ	0	0	0	0	0
ZZ	0	0	0	0	0
ZW	0	0	0	0	0
ZW	0	0	0	0	0
ETC	0	0	0	0	0
ETC	0	0	0	0	0
S/sqrt(B): inf	inf	inf	inf	inf
