 ROOT Version: 5.32/00.
 CMSSW environment is set up.
31236 pts/144  00:00:00 root.exe
 MIT root style REMIX($Author: KSUNG $$,$Modified by ksung $$).

 Use: MakeCanvas(name,title)
      InitSubPad(pad,nPad)
      InitHist(hist,xTitle,yTitle,color)

(class CPlot)185148864

Processing newBoxCuts.C+("new.conf",2)...
Selected ditau decay: jet-mu
sample		 presel	 tau/b	 bb	 hh	 final
HH	466.554	87.0064	40.0008	23.4106	21.9359
HH	9.27375	4.0048	2.71543	2.07736	2.01086
tt	0	0	0	0	0
tt	0	0	0	0	0
ZH	0	0	0	0	0
ZH	0	0	0	0	0
WH	0	0	0	0	0
WH	0	0	0	0	0
WW	0	0	0	0	0
WW	0	0	0	0	0
ZZ	0	0	0	0	0
ZZ	0	0	0	0	0
ZW	0	0	0	0	0
ZW	0	0	0	0	0
ETC	0	0	0	0	0
ETC	0	0	0	0	0
S/sqrt(B): inf	inf	inf	inf	inf
